
position,career_WS
Point Guard,73.2
Center,74.3
Power Forward,75.3
Small Forward,75.4
Shooting Guard,75.6
Point Guard,77.3
Point Guard,77.5
Small Forward,78.5
Power Forward,79
Shooting Guard,79.3
Point Guard,80.7
Small Forward,82.6
Small Forward,83
Shooting Guard,83.7
Point Guard,85
Center,85.7
Point Guard,86.7
Point Guard,87.5
Small Forward,88.7
Shooting Guard,90.6
Point Guard,91.1
Point Guard,91.8
Point Guard,92.8
Power Forward,94.1
Point Guard,95.5
Center,96.4
Point Guard,96.9
Point Guard,102.9
Power Forward,109.6
Center,110.1
Point Guard,110.4
Point Guard,111.3
Center,112.5
Power Forward,113
Point Guard,113.5
Center,117
Center,117.1
Small Forward,117.5
Power Forward,120.1
Small Forward,125.1
Small Forward,128.9
Point Guard,129.7
Center,130
Small Forward,134.2
Shooting Guard,135.6
Shooting Guard,145.1
Point Guard,145.5
Center,147
Center,162.8
Center,163.5
Point Guard,171.5
Shooting Guard,174.4
Center,178.7
Small Forward,181.1
Center,181.7
Point Guard,189.2
Point Guard,207.7
Shooting Guard,214
Power Forward,234.6
Center,273.4
Shooting Guard,-0.9
Point Guard,-0.6
Center,-0.4
Center,-0.2
Shooting Guard,1.9
Small Forward,8.9
Small Forward,14.2
Shooting Guard,82.8
Shooting Guard,-3.5
Shooting Guard,-1.8
Shooting Guard,-1.3
Shooting Guard,-1.2
Point Guard,-1.1
Small Forward,-0.9
Point Guard,-0.9
Point Guard,-0.9
Shooting Guard,-0.8
Point Guard,-0.7
Center,-0.7
Small Forward,-0.7
Small Forward,-0.6
Power Forward,-0.6
Shooting Guard,-0.6
Shooting Guard,-0.6
Point Guard,-0.5
Center,-0.5
Shooting Guard,-0.5
Point Guard,-0.5
Shooting Guard,-0.5
Shooting Guard,-0.5
Shooting Guard,-0.5
Small Forward,-0.4
Small Forward,-0.4
Point Guard,-0.4
Point Guard,-0.4
Shooting Guard,-0.4
Center,-0.4
Small Forward,-0.4
Point Guard,-0.4
Point Guard,-0.4
Point Guard,-0.3
Shooting Guard,-0.3
Center,-0.3
